"UPC","DESCRIPTION","MANUFACTURER","CATEGORY","elasticity","std_error","p_value","adj_r2","n_obs"
2066200531,"NWMN OWN 4 CHEESE PIZZA","KING","FROZEN PIZZA",-3.33361197610221,0.138298521072118,2.12566963642455e-119,0.578335137727076,3783
7218063052,"FRSC BRCK OVN ITL PEP PZ","TONYS","FROZEN PIZZA",-3.10093699910671,0.058923589092507,0,0.650803841377509,10403
2066200530,"NWMN OWN PEPPERONI PIZZA","KING","FROZEN PIZZA",-3.04986096961703,0.115464767358185,4.47466966215635e-144,0.569809773155961,5101
7110410471,"MKSL PRETZEL STICKS","MKSL","BAG SNACKS",-3.01779505674886,0.10596697925992,6.89112674187486e-164,0.481888549883008,4450
7192100336,"DIGIORNO THREE MEAT","TOMBSTONE","FROZEN PIZZA",-2.98816716325585,0.0570311021288692,0,0.61057194502334,11796
3800039118,"KELL FROOT LOOPS","KELLOGG","COLD CEREAL",-2.98110494440019,0.0497993997321422,0,0.738144804609916,11947
7218063979,"FRSC PEPPERONI PIZZA","TONYS","FROZEN PIZZA",-2.9690207739814,0.0612517161293122,0,0.64149429913188,9738
1111087398,"PL SR CRUST PEPPRN PIZZA","PRIVATE LABEL","FROZEN PIZZA",-2.74975025746343,0.0530613012000576,0,0.543435164668881,11831
2066200532,"NWMN OWN SUPREME PIZZA","KING","FROZEN PIZZA",-2.74624298117707,0.148940955366816,1.3714850129771e-71,0.506722170913451,2752
7218063983,"FRSC 4 CHEESE PIZZA","TONYS","FROZEN PIZZA",-2.65081788725571,0.0652102715324386,0,0.614807313785813,8686
7192100337,"DIGRN SUPREME PIZZA","TOMBSTONE","FROZEN PIZZA",-2.59621128503706,0.0513059365810323,0,0.649312673268584,11918
7192100339,"DIGRN PEPP PIZZA","TOMBSTONE","FROZEN PIZZA",-2.59040358451477,0.0467336484341944,0,0.707787922547579,11961
1111087395,"PL SR CRUST SUPRM PIZZA","PRIVATE LABEL","FROZEN PIZZA",-2.54284066158704,0.0546368017045008,0,0.509571763671373,11641
7110410455,"MKSL MINI TWIST PRETZELS","MKSL","BAG SNACKS",-2.47235504066587,0.094914388598062,7.8756964766008e-140,0.544308668156028,4744
3000006560,"QKER CAP N CRUNCH BERRIES","QUAKER","COLD CEREAL",-2.39443732690555,0.0600076584443465,1.97626258336499e-323,0.542769228724534,10173
3000006610,"QKER CAP N CRUNCH","QUAKER","COLD CEREAL",-2.33743137818836,0.0560500641358381,0,0.636874757505176,10493
3000006340,"QKER LIFE ORIGINAL","QUAKER","COLD CEREAL",-2.30131999976251,0.0429666357220784,0,0.673298040676585,10232
2840002333,"RLDGLD BRAIDED HONEY WHT","FRITO LAY","BAG SNACKS",-2.22479562122603,0.0803718043220372,4.727837714916e-162,0.638930575838135,9258
2840004770,"RLDGLD PRETZEL STICKS","FRITO LAY","BAG SNACKS",-2.19221615563298,0.0690282776569236,5.03020176907698e-212,0.697667729287258,11306
88491212971,"POST FRUITY PEBBLES","POST FOODS","COLD CEREAL",-2.16695316711464,0.0401330348286727,0,0.725744754737852,10093
