"CATEGORY","MECHANIC","events","portfolio_roi"
"BAG SNACKS","Display only",7176,-0.0257504843709494
"BAG SNACKS","Feature + Display",1150,-0.0615364411636031
"BAG SNACKS","Feature only",1247,-0.250063815823159
"BAG SNACKS","TPR only (price cut, no support)",18233,-0.708362622454225
"COLD CEREAL","Feature + Display",5861,0.113114333165849
"COLD CEREAL","Feature only",4508,-0.0534002204458675
"COLD CEREAL","Display only",3352,-0.0696329863295193
"COLD CEREAL","TPR only (price cut, no support)",16255,-0.668227866669424
"FROZEN PIZZA","Display only",2640,0.0513130884042729
"FROZEN PIZZA","Feature + Display",5999,0.0254931584022032
"FROZEN PIZZA","Feature only",5020,-0.0728335729161563
"FROZEN PIZZA","TPR only (price cut, no support)",8353,-0.440074840516757
"ORAL HYGIENE PRODUCTS","Feature + Display",1123,-0.0486731173945811
"ORAL HYGIENE PRODUCTS","Feature only",2504,-0.185057127063059
"ORAL HYGIENE PRODUCTS","Display only",3927,-0.246187519833358
"ORAL HYGIENE PRODUCTS","TPR only (price cut, no support)",14034,-0.447234111906904
